================================================================================
PARITY TEST REPORT
================================================================================
Generated: 2025-12-05T02:33:41.324233
Git commit: ff660ecea2b49dc980cd3812efdee5a455d47103

Total tests: 1548
Passed (strict): 700/1548
Passed (tolerant): 1548/1548
Event failures: 0/1548
Value failures: 848/1548
Errors: 0/1548


================================================================================
ALL RESULTS
================================================================================
model,scenario,country,status,event_parity,value_parity,rust_events,python_events,max_rel_diff
model,baseline,MOZ,passed,True,True,12382,12382,0.004163
model,baseline,MMR,passed,True,True,12382,12382,0.004163
model,baseline,NAM,passed,True,True,12382,12382,0.004163
model,baseline,NPL,passed,True,True,12382,12382,0.004163
model,baseline,NLD,passed,True,True,12382,12382,0.004163
model,baseline,NZL,passed,True,True,12382,12382,0.004163
model,baseline,NIC,passed,True,True,12382,12382,0.004163
model,baseline,NER,passed,True,True,12382,12382,0.004163
model,baseline,NGA,passed,True,True,12382,12382,0.004163
model,baseline,NOR,passed,True,True,12382,12382,0.004163
model,baseline,OMN,passed,True,True,12382,12382,0.004163
model,baseline,PAK,passed,True,True,12382,12382,0.004163
model,baseline,PAN,passed,True,True,12382,12382,0.004163
model,baseline,PNG,passed,True,True,12382,12382,0.004163
model,baseline,PRY,passed,True,True,12382,12382,0.004163
model,baseline,PHL,passed,True,True,12382,12382,0.004163
model,baseline,POL,passed,True,True,12382,12382,0.004163
model,baseline,PRT,passed,True,True,12382,12382,0.004163
model,baseline,QAT,passed,True,True,12382,12382,0.004163
model,baseline,ROU,passed,True,True,12382,12382,0.004163
model,baseline,RUS,passed,True,True,12382,12382,0.004163
model,baseline,RWA,passed,True,True,12382,12382,0.004163
model,baseline,WSM,passed,True,True,12382,12382,0.004163
model,baseline,STP,passed,True,True,12382,12382,0.004163
model,baseline,SAU,passed,True,True,12382,12382,0.004163
model,baseline,SEN,passed,True,True,12382,12382,0.004163
model,baseline,SRB,passed,True,True,12382,12382,0.004163
model,baseline,SYC,passed,True,True,12382,12382,0.004163
model,baseline,SLE,passed,True,True,12382,12382,0.004163
model,baseline,SGP,passed,True,True,12382,12382,0.004163
model,baseline,SVK,passed,True,True,12382,12382,0.004163
model,baseline,SVN,passed,True,True,12382,12382,0.004163
model,baseline,SLB,passed,True,True,12382,12382,0.004163
model,baseline,SOM,passed,True,True,12382,12382,0.004163
model,baseline,ZAF,passed,True,True,12382,12382,0.004163
model,baseline,ESP,passed,True,True,12382,12382,0.004163
model,baseline,LKA,passed,True,True,12382,12382,0.004163
model,baseline,SDN,passed,True,True,12382,12382,0.004163
model,baseline,SUR,passed,True,True,12382,12382,0.004163
model,baseline,SWZ,passed,True,True,12382,12382,0.004163
model,baseline,SWE,passed,True,True,12382,12382,0.004163
model,baseline,CHE,passed,True,True,12382,12382,0.004163
model,baseline,SYR,passed,True,True,12382,12382,0.004163
model,baseline,TJK,passed,True,True,12382,12382,0.004163
model,baseline,TZA,passed,True,True,12382,12382,0.004163
model,baseline,THA,passed,True,True,12382,12382,0.004163
model,baseline,TGO,passed,True,True,12382,12382,0.004163
model,baseline,TON,passed,True,True,12382,12382,0.004163
model,baseline,TTO,passed,True,True,12382,12382,0.004163
model,baseline,TUN,passed,True,True,12382,12382,0.004163
model,baseline,TUR,passed,True,True,12382,12382,0.004163
model,baseline,TKM,passed,True,True,12382,12382,0.004163
model,baseline,UGA,passed,True,True,12382,12382,0.004163
model,baseline,UKR,passed,True,True,12382,12382,0.004163
model,baseline,ARE,passed,True,True,12382,12382,0.004163
model,baseline,GBR,passed,True,True,12382,12382,0.004163
model,baseline,USA,passed,True,True,12382,12382,0.004163
model,baseline,URY,passed,True,True,12382,12382,0.004163
model,baseline,UZB,passed,True,True,12382,12382,0.004163
model,baseline,VUT,passed,True,True,12382,12382,0.004163
model,baseline,VEN,passed,True,True,12382,12382,0.004163
model,baseline,VNM,passed,True,True,12382,12382,0.004163
model,baseline,YEM,passed,True,True,12382,12382,0.004163
model,baseline,ZMB,passed,True,True,12382,12382,0.004163
model,baseline,ZWE,passed,True,True,12382,12382,0.004163
model,asthma_baseline,AFG,passed,True,True,16084,16084,0.003438
model,asthma_baseline,ALB,passed,True,True,16084,16084,0.004837
model,asthma_baseline,DZA,passed_tolerant,True,False,16084,16084,0.046111
model,asthma_baseline,AGO,passed,True,True,16084,16084,0.004204
model,asthma_baseline,ARG,passed_tolerant,True,False,16084,16084,0.047982
model,asthma_baseline,ARM,passed,True,True,16084,16084,0.004118
model,asthma_baseline,AUS,passed_tolerant,True,False,16084,16084,0.022180
model,asthma_baseline,AUT,passed_tolerant,True,False,16084,16084,0.023607
model,asthma_baseline,AZE,passed_tolerant,True,False,16084,16084,0.057049
model,asthma_baseline,BHS,passed,True,True,16084,16084,0.005678
model,asthma_baseline,BHR,passed,True,True,16084,16084,0.004652
model,asthma_baseline,BGD,passed,True,True,16084,16084,0.009238
model,asthma_baseline,BRB,passed,True,True,16084,16084,0.009901
model,asthma_baseline,BLR,passed_tolerant,True,False,16084,16084,0.022842
model,asthma_baseline,BEL,passed_tolerant,True,False,16084,16084,0.019590
model,asthma_baseline,BLZ,passed,True,True,16084,16084,0.005098
model,asthma_baseline,BEN,passed_tolerant,True,False,16084,16084,0.104467
model,asthma_baseline,BTN,passed_tolerant,True,False,16084,16084,0.055650
model,asthma_baseline,BIH,passed_tolerant,True,False,16084,16084,0.024508
model,asthma_baseline,BWA,passed_tolerant,True,False,16084,16084,0.012722
model,asthma_baseline,BRA,passed_tolerant,True,False,16084,16084,0.040500
model,asthma_baseline,BRN,passed_tolerant,True,False,16084,16084,0.032644
model,asthma_baseline,BGR,passed_tolerant,True,False,16084,16084,0.023724
model,asthma_baseline,BFA,passed,True,True,16084,16084,0.003467
model,asthma_baseline,BDI,passed,True,True,16084,16084,0.008176
model,asthma_baseline,KHM,passed_tolerant,True,False,16084,16084,0.015587
model,asthma_baseline,CMR,passed_tolerant,True,False,16084,16084,0.045359
model,asthma_baseline,CAN,passed_tolerant,True,False,16084,16084,0.041311
model,asthma_baseline,CPV,passed,True,True,16084,16084,0.006068
model,asthma_baseline,CAF,passed,True,True,16084,16084,0.002308
model,asthma_baseline,TCD,passed_tolerant,True,False,16084,16084,0.035909
model,asthma_baseline,CHL,passed_tolerant,True,False,16084,16084,0.026027
model,asthma_baseline,CHN,passed_tolerant,True,False,16084,16084,0.057333
model,asthma_baseline,COL,passed_tolerant,True,False,16084,16084,0.013246
model,asthma_baseline,COM,passed_tolerant,True,False,16084,16084,0.011118
model,asthma_baseline,COG,passed_tolerant,True,False,16084,16084,0.029315
model,asthma_baseline,COD,passed_tolerant,True,False,16084,16084,0.027514
model,asthma_baseline,CRI,passed_tolerant,True,False,16084,16084,0.019704
model,asthma_baseline,CIV,passed_tolerant,True,False,16084,16084,0.028044
model,asthma_baseline,HRV,passed_tolerant,True,False,16084,16084,0.041727
model,asthma_baseline,CUB,passed_tolerant,True,False,16084,16084,0.024185
model,asthma_baseline,CYP,passed_tolerant,True,False,16084,16084,0.012985
model,asthma_baseline,CZE,passed_tolerant,True,False,16084,16084,0.026625
model,asthma_baseline,DNK,passed_tolerant,True,False,16084,16084,0.014767
model,asthma_baseline,DJI,passed_tolerant,True,False,16084,16084,0.031843
model,asthma_baseline,DOM,passed,True,True,16084,16084,0.006220
model,asthma_baseline,EGY,passed,True,True,16084,16084,0.003467
model,asthma_baseline,SLV,passed,True,True,16084,16084,0.005545
model,asthma_baseline,GNQ,passed,True,True,16084,16084,0.003925
model,asthma_baseline,ERI,passed,True,True,16084,16084,0.005347
model,asthma_baseline,EST,passed,True,True,16084,16084,0.009994
model,asthma_baseline,ETH,passed_tolerant,True,False,16084,16084,1.000000
model,asthma_baseline,FJI,passed,True,True,16084,16084,0.003266
model,asthma_baseline,FIN,passed_tolerant,True,False,16084,16084,0.032678
model,asthma_baseline,FRA,passed_tolerant,True,False,16084,16084,0.068872
model,asthma_baseline,GAB,passed,True,True,16084,16084,0.006845
model,asthma_baseline,GMB,passed,True,True,16084,16084,0.004084
model,asthma_baseline,GEO,passed_tolerant,True,False,16084,16084,0.020973
model,asthma_baseline,DEU,passed_tolerant,True,False,16084,16084,0.023552
model,asthma_baseline,GHA,passed_tolerant,True,False,16084,16084,0.010200
model,asthma_baseline,GRC,passed_tolerant,True,False,16084,16084,0.031220
model,asthma_baseline,GTM,passed_tolerant,True,False,16084,16084,0.011100
model,asthma_baseline,GIN,passed_tolerant,True,False,16084,16084,0.067914
model,asthma_baseline,GNB,passed_tolerant,True,False,16084,16084,0.023186
model,asthma_baseline,GUY,passed,True,True,16084,16084,0.004298
model,asthma_baseline,HTI,passed,True,True,16084,16084,0.001986
model,asthma_baseline,HND,passed_tolerant,True,False,16084,16084,0.031042
model,asthma_baseline,HUN,passed_tolerant,True,False,16084,16084,0.021073
model,asthma_baseline,ISL,passed,True,True,16084,16084,0.003165
model,asthma_baseline,IND,passed_tolerant,True,False,16084,16084,0.078978
model,asthma_baseline,IDN,passed_tolerant,True,False,16084,16084,0.099910
model,asthma_baseline,IRN,passed_tolerant,True,False,16084,16084,0.068872
model,asthma_baseline,IRQ,passed,True,True,16084,16084,0.005150
model,asthma_baseline,IRL,passed_tolerant,True,False,16084,16084,0.035925
model,asthma_baseline,ISR,passed,True,True,16084,16084,0.007812
model,asthma_baseline,ITA,passed_tolerant,True,False,16084,16084,0.049311
model,asthma_baseline,JAM,passed_tolerant,True,False,16084,16084,0.010396
model,asthma_baseline,JPN,passed_tolerant,True,False,16084,16084,0.014126
model,asthma_baseline,JOR,passed,True,True,16084,16084,0.002318
model,asthma_baseline,KAZ,passed,True,True,16084,16084,0.006055
model,asthma_baseline,KEN,passed,True,True,16084,16084,0.004467
model,asthma_baseline,PRK,passed_tolerant,True,False,16084,16084,0.188443
model,asthma_baseline,KOR,passed,True,True,16084,16084,0.009165
model,asthma_baseline,KWT,passed_tolerant,True,False,16084,16084,0.011380
model,asthma_baseline,KGZ,passed,True,True,16084,16084,0.008272
model,asthma_baseline,LAO,passed,True,True,16084,16084,0.004681
model,asthma_baseline,LVA,passed_tolerant,True,False,16084,16084,0.010425
model,asthma_baseline,LBN,passed,True,True,16084,16084,0.006599
model,asthma_baseline,LSO,passed_tolerant,True,False,16084,16084,0.014450
model,asthma_baseline,LBR,passed,True,True,16084,16084,0.005377
model,asthma_baseline,LBY,passed_tolerant,True,False,16084,16084,0.038739
model,asthma_baseline,LTU,passed_tolerant,True,False,16084,16084,0.016453
model,asthma_baseline,LUX,passed_tolerant,True,False,16084,16084,0.010929
model,asthma_baseline,MKD,passed_tolerant,True,False,16084,16084,0.066760
model,asthma_baseline,MDG,passed_tolerant,True,False,16084,16084,0.474800
model,asthma_baseline,MWI,passed_tolerant,True,False,16084,16084,0.101100
model,asthma_baseline,MYS,passed,True,True,16084,16084,0.007314
model,asthma_baseline,MDV,passed,True,True,16084,16084,0.002998
model,asthma_baseline,MLI,passed_tolerant,True,False,16084,16084,0.023571
model,asthma_baseline,MLT,passed_tolerant,True,False,16084,16084,0.024565
model,asthma_baseline,MRT,passed_tolerant,True,False,16084,16084,0.065029
model,asthma_baseline,MUS,passed_tolerant,True,False,16084,16084,0.058330
model,asthma_baseline,MEX,passed_tolerant,True,False,16084,16084,0.047982
model,asthma_baseline,MDA,passed_tolerant,True,False,16084,16084,0.017727
model,asthma_baseline,MNG,passed,True,True,16084,16084,0.005717
model,asthma_baseline,MNE,passed_tolerant,True,False,16084,16084,0.077548
model,asthma_baseline,MAR,passed,True,True,16084,16084,0.006723
model,asthma_baseline,MOZ,passed,True,True,16084,16084,0.003171
model,asthma_baseline,MMR,passed_tolerant,True,False,16084,16084,0.020450
model,asthma_baseline,NAM,passed,True,True,16084,16084,0.008735
model,asthma_baseline,NPL,passed,True,True,16084,16084,0.005099
model,asthma_baseline,NLD,passed_tolerant,True,False,16084,16084,0.066489
model,asthma_baseline,NZL,passed,True,True,16084,16084,0.007486
model,asthma_baseline,NIC,passed_tolerant,True,False,16084,16084,0.012806
model,asthma_baseline,NER,passed_tolerant,True,False,16084,16084,0.121300
model,asthma_baseline,NGA,passed_tolerant,True,False,16084,16084,0.032026
model,asthma_baseline,NOR,passed,True,True,16084,16084,0.008180
model,asthma_baseline,OMN,passed,True,True,16084,16084,0.006155
model,asthma_baseline,PAK,passed,True,True,16084,16084,0.005116
model,asthma_baseline,PAN,passed_tolerant,True,False,16084,16084,0.016979
model,asthma_baseline,PNG,passed_tolerant,True,False,16084,16084,0.012955
model,asthma_baseline,PRY,passed,True,True,16084,16084,0.008584
model,asthma_baseline,PHL,passed_tolerant,True,False,16084,16084,0.014126
model,asthma_baseline,POL,passed_tolerant,True,False,16084,16084,0.222300
model,asthma_baseline,PRT,passed_tolerant,True,False,16084,16084,0.014040
model,asthma_baseline,QAT,passed_tolerant,True,False,16084,16084,0.010146
model,asthma_baseline,ROU,passed_tolerant,True,False,16084,16084,0.021939
model,asthma_baseline,RUS,passed,True,True,16084,16084,0.007058
model,asthma_baseline,RWA,passed_tolerant,True,False,16084,16084,0.018624
model,asthma_baseline,WSM,passed,True,True,16084,16084,0.003468
model,asthma_baseline,STP,passed,True,True,16084,16084,0.005992
model,asthma_baseline,SAU,passed,True,True,16084,16084,0.003412
model,asthma_baseline,SEN,passed,True,True,16084,16084,0.006590
model,asthma_baseline,SRB,passed_tolerant,True,False,16084,16084,0.333400
model,asthma_baseline,SYC,passed_tolerant,True,False,16084,16084,0.010200
model,asthma_baseline,SLE,passed_tolerant,True,False,16084,16084,0.075850
model,asthma_baseline,SGP,passed_tolerant,True,False,16084,16084,0.031625
model,asthma_baseline,SVK,passed_tolerant,True,False,16084,16084,0.074674
model,asthma_baseline,SVN,passed_tolerant,True,False,16084,16084,0.062971
model,asthma_baseline,SLB,passed,True,True,16084,16084,0.003851
model,asthma_baseline,SOM,passed,True,True,16084,16084,0.009901
model,asthma_baseline,ZAF,passed_tolerant,True,False,16084,16084,0.070800
model,asthma_baseline,ESP,passed_tolerant,True,False,16084,16084,0.016157
model,asthma_baseline,LKA,passed,True,True,16084,16084,0.005267
model,asthma_baseline,SDN,passed_tolerant,True,False,16084,16084,0.039057
model,asthma_baseline,SUR,passed_tolerant,True,False,16084,16084,0.012370
model,asthma_baseline,SWZ,passed,True,True,16084,16084,0.002412
model,asthma_baseline,SWE,passed_tolerant,True,False,16084,16084,0.024069
model,asthma_baseline,CHE,passed,True,True,16084,16084,0.008036
model,asthma_baseline,SYR,passed,True,True,16084,16084,0.002276
model,asthma_baseline,TJK,passed_tolerant,True,False,16084,16084,0.050590
model,asthma_baseline,TZA,passed_tolerant,True,False,16084,16084,0.232400
model,asthma_baseline,THA,passed_tolerant,True,False,16084,16084,1.000000
model,asthma_baseline,TGO,passed_tolerant,True,False,16084,16084,0.139044
model,asthma_baseline,TON,passed,True,True,16084,16084,0.003550
model,asthma_baseline,TTO,passed,True,True,16084,16084,0.003274
model,asthma_baseline,TUN,passed,True,True,16084,16084,0.008579
model,asthma_baseline,TUR,passed_tolerant,True,False,16084,16084,0.023271
model,asthma_baseline,TKM,passed_tolerant,True,False,16084,16084,0.023846
model,asthma_baseline,UGA,passed,True,True,16084,16084,0.007812
model,asthma_baseline,UKR,passed_tolerant,True,False,16084,16084,1.000000
model,asthma_baseline,ARE,passed,True,True,16084,16084,0.006833
model,asthma_baseline,GBR,passed_tolerant,True,False,16084,16084,0.041277
model,asthma_baseline,USA,passed_tolerant,True,False,16084,16084,0.083040
model,asthma_baseline,URY,passed_tolerant,True,False,16084,16084,0.025911
model,asthma_baseline,UZB,passed,True,True,16084,16084,0.009901
model,asthma_baseline,VUT,passed_tolerant,True,False,16084,16084,0.037181
model,asthma_baseline,VEN,passed,True,True,16084,16084,0.006217
model,asthma_baseline,VNM,passed_tolerant,True,False,16084,16084,1.000000
model,asthma_baseline,YEM,passed,True,True,16084,16084,0.001854
model,asthma_baseline,ZMB,passed_tolerant,True,False,16084,16084,0.037701
model,asthma_baseline,ZWE,passed_tolerant,True,False,16084,16084,0.013987
model,asthma_cr1,AFG,passed,True,True,16084,16084,0.003438
model,asthma_cr1,ALB,passed,True,True,16084,16084,0.004837
model,asthma_cr1,DZA,passed_tolerant,True,False,16084,16084,0.046111
model,asthma_cr1,AGO,passed,True,True,16084,16084,0.004204
model,asthma_cr1,ARG,passed_tolerant,True,False,16084,16084,0.047982
model,asthma_cr1,ARM,passed,True,True,16084,16084,0.004118
model,asthma_cr1,AUS,passed_tolerant,True,False,16084,16084,0.022180
model,asthma_cr1,AUT,passed_tolerant,True,False,16084,16084,0.023607
model,asthma_cr1,AZE,passed_tolerant,True,False,16084,16084,0.057049
model,asthma_cr1,BHS,passed,True,True,16084,16084,0.005678
model,asthma_cr1,BHR,passed,True,True,16084,16084,0.004652
model,asthma_cr1,BGD,passed,True,True,16084,16084,0.009238
model,asthma_cr1,BRB,passed,True,True,16084,16084,0.009901
model,asthma_cr1,BLR,passed_tolerant,True,False,16084,16084,0.022842
model,asthma_cr1,BEL,passed_tolerant,True,False,16084,16084,0.019590
model,asthma_cr1,BLZ,passed,True,True,16084,16084,0.005098
model,asthma_cr1,BEN,passed_tolerant,True,False,16084,16084,0.104467
model,asthma_cr1,BTN,passed_tolerant,True,False,16084,16084,0.055650
model,asthma_cr1,BIH,passed_tolerant,True,False,16084,16084,0.024508
model,asthma_cr1,BWA,passed_tolerant,True,False,16084,16084,0.012722
model,asthma_cr1,BRA,passed_tolerant,True,False,16084,16084,0.040500
model,asthma_cr1,BRN,passed_tolerant,True,False,16084,16084,0.032644
model,asthma_cr1,BGR,passed_tolerant,True,False,16084,16084,0.023724
model,asthma_cr1,BFA,passed,True,True,16084,16084,0.003467
model,asthma_cr1,BDI,passed,True,True,16084,16084,0.008176
model,asthma_cr1,KHM,passed_tolerant,True,False,16084,16084,0.015587
